objectid;anlage;adresse;typ;gruppe;lng;lat
27;Spielplatz Reichenauerpromenade;Reichenauer Straße;Skate-/Rollerbladeplatz;Funsport;11.428054316;47.2743626930001
28;Spielplatz Kärntner Park;Kärntner Straße;Sportplatz;Spielplatz;11.4131901160001;47.2743084190001
29;Tennisclub IEV;Reichenauer Straße 144;Tennishalle;Tennis/Squash;11.42578451;47.274143307
30;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.4258071730001;47.2737411910001
31;Sportanlage NMS Reichenau;Burghard-Breitner-Straße 20-22;Sportplatz;Spielplatz;11.425121022;47.273612514
32;Sportanlage NMS Reichenau;Burghard-Breitner-Straße 20-22;Leichtathletikanlage;Sonstiges;11.4247685280001;47.2736350010001
33;Sportanlage NMS Reichenau;Burghard-Breitner-Straße 20-22;Leichtathletikanlage;Sonstiges;11.424773283;47.27342392
34;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.427253035;47.2733333510001
35;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.4270284670001;47.273331995
36;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.426803428;47.273330619
37;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.426578391;47.2733292440001
38;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.426350374;47.2733278740001
39;Spielplatz Grüngürtel Reichenau West;Gutshofweg;Sportplatz;Spielplatz;11.418923701;47.273421672
40;Sportanlage VS Saggen - Siebererschule;Siebererstraße 7;Sportplatz;Spielplatz;11.403317777;47.2734314950001
41;Sportanlage NMS Reichenau;Burghard-Breitner-Straße 20-22;Sportplatz;Spielplatz;11.4245176430001;47.273210621
42;Sportanlage NMS Reichenau;Burghard-Breitner-Straße 20-22;Sporthalle;Sporthalle;11.425120888;47.2732814030001
43;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.427481986;47.273239473
44;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.4274897060001;47.2729718140001
45;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.4272648520001;47.2729679510001
46;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.4270392;47.2729639930001
47;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.4268141850001;47.272960063
48;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.426589171;47.272956133
49;Tennisclub IEV;Reichenauer Straße 144;Tennisplatz;Tennis/Squash;11.4263646040001;47.272952252
50;Sportanlage NMS Reichenau;Burghard-Breitner-Straße 20-22;Sporthalle;Sporthalle;11.424871782;47.2730108420001
51;Sportanlage VS Saggen - Siebererschule;Siebererstraße 7;Sporthalle;Sporthalle;11.403881621;47.273149743
52;Schießstand Hegnerschule;Burghard-Breitner-Straße 20;Schießstandhalle;Sonstiges;11.424678052;47.272747553
53;Fußballplatz An-der-Lan-Straße;An-der-Lan-Straße;Fußballplatz;Fußball/Football;11.4447612540001;47.27211349
54;Tischtennishalle Hegnerschule;Burghard-Breitner-Straße 20;Sporthalle;Sporthalle;11.4247853520001;47.2725798660001
55;Kegelbahn Hegnerschule;Burghard-Breitner-Straße 20;Kegelbahn;Sporthalle;11.424988523;47.2725866310001
56;Sporthalle VS Reichenau;Wörndlestraße 3;Sporthalle;Sporthalle;11.4185350020001;47.2725490130001
57;Sporthalle VS Reichenau;Wörndlestraße 3;Sporthalle;Sporthalle;11.4181968830001;47.2724271800001
58;Spielplatz Grünbacherpromenade;Sepp-Grünbacher-Promenade;Sportplatz;Spielplatz;11.4378196390001;47.272156625
59;Tischtennis Verbandsraum VS Reichenau;Wörndlestraße 3;Sporthalle;Sporthalle;11.4182841790001;47.272219911
60;Spielplatz Grüner Boden;oberhalb Sadrachstraße 31;Sportplatz;Spielplatz;11.363486643;47.2725735380001
61;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.4244252190001;47.271876503
62;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.424212902;47.2718201220001
63;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.4240001700001;47.2717636620001
64;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennishalle;Tennis/Squash;11.423667122;47.271680147
65;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennishalle;Tennis/Squash;11.4234509790001;47.2716225290001
66;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.4246093310001;47.27155358
67;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennishalle;Tennis/Squash;11.4232349700001;47.2715649020001
68;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.42439791;47.2714974560001
69;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.4241848570001;47.2714410950001
70;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.423868479;47.2713459450001
71;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.423652389;47.2712887420001
72;Spielplatz Riedgasse;Riedgasse;Sportplatz;Spielplatz;11.388466629;47.2716710390001
73;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Beachvolleyballplatz;Funsport;11.424790748;47.271254416
74;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.4234359930001;47.271231578
75;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Beachvolleyballplatz;Funsport;11.4245930230001;47.2711955350001
76;Fußballplatz Fennerareal;Kaiserjägerstraße;Fußballplatz;Fußball/Football;11.3993143870001;47.271154274
77;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Beachvolleyballplatz;Funsport;11.424370982;47.271130113
78;Sporthalle VS St. Nikolaus;Innallee 3;Sporthalle;Sporthalle;11.3925927970001;47.2713961740001
79;Tennis Union Turnerschaft Innsbruck;Radetzkystraße 41;Tennisplatz;Tennis/Squash;11.4237751270001;47.271016988
